iso3,country,year,phase_type,ipc_phase,population_total,gdp_current_usd,poverty_rate,brd_deaths,one_sided_deaths,Climate: Standard Deviation,Climate: Temperature change,Crop: Maize (corn) - Production,Crop: Maize (corn) - Yield,Crop: Millet - Production,Crop: Millet - Yield,Crop: Rice - Production,Crop: Rice - Yield,Crop: Sorghum - Production,Crop: Sorghum - Yield,Crop: Wheat - Production,Crop: Wheat - Yield
TLS,Timor-Leste,2022,current,2,1369295,3208593982,,,,0.497235294,0.622941176,87000,1769.4,,,85500,2160.4,,,,
TLS,Timor-Leste,2022,proj1,1,1369295,3208593982,,,,0.497235294,0.622941176,87000,1769.4,,,85500,2160.4,,,,
TLS,Timor-Leste,2022,proj2,1,1369295,3208593982,,,,0.497235294,0.622941176,87000,1769.4,,,85500,2160.4,,,,
TLS,Timor-Leste,2023,current,1,1384286,2079916909,,,,0.497235294,0.363705882,85000,2100,,,83000,2160.4,,,,
TLS,Timor-Leste,2023,proj1,2,1384286,2079916909,,,,0.497235294,0.363705882,85000,2100,,,83000,2160.4,,,,
TLS,Timor-Leste,2023,proj2,1,1384286,2079916909,,,,0.497235294,0.363705882,85000,2100,,,83000,2160.4,,,,
TZA,Tanzania,2017,current,2,55652890,53274884533,,,,,,,,,,,,,,,
TZA,Tanzania,2017,proj1,2,55652890,53274884533,,,,,,,,,,,,,,,
TZA,Tanzania,2017,proj2,1,55652890,53274884533,,,,,,,,,,,,,,,
TZA,Tanzania,2019,current,1,59174891,61026731926,,,,,,,,,,,,,,,
TZA,Tanzania,2019,proj1,1,59174891,61026731926,,,,,,,,,,,,,,,
TZA,Tanzania,2019,proj2,1,59174891,61026731926,,,,,,,,,,,,,,,
TZA,Tanzania,2021,current,1,62830412,70655628148,,,,,,,,,,,,,,,
TZA,Tanzania,2021,proj1,1,62830412,70655628148,,,,,,,,,,,,,,,
TZA,Tanzania,2021,proj2,1,62830412,70655628148,,,,,,,,,,,,,,,
TZA,Tanzania,2022,current,1,64711821,75769974505,,,,,,,,,,,,,,,
TZA,Tanzania,2022,proj1,1,64711821,75769974505,,,,,,,,,,,,,,,
TZA,Tanzania,2022,proj2,1,64711821,75769974505,,,,,,,,,,,,,,,
